Esperite;Zinc;2;Lead;1;;;40,40,0;40,40,0;40,40,0;40,40,0;20,20,0
Fulgurium_Chunk;;;;;;;0,0,0;0,0,0;0,5,50;0,50,125;0,100,125
Galena;Lead;2;;;;;90,90,0;90,90,0;85,90,50;85,80,50;80,70,0
Graphite;Carbon;2;;;;;30,30,0;40,40,5;60,60,0;60,60,0;40,40,0
Hydroxyapatite;Calcium;1;Phosphorus;2;;;45,45,25;55,55,10;50,50,0;40,40,0;30,30,0
Ilmenite;Titanium;1;;;;;0,0,0;40,70,50;60,60,0;30,20,0;10,10,0
Incendium Crystal;;;;;;;0,0,0;0,0,0;0,5,30;0,50,100;0,100,100
Iron_Ore;Iron;4;;;;;65,65,10;50,50,5;50,50,0;40,40,0;30,30,0
Langbeinite;Potassium;1;Magnesium;1;;;15,15,100;30,30,50;50,50,25;65,65,5;50,50,5
Lazulite;Phosphorus;1;Iron;1;;;50,50,15;45,45,10;30,30,5;15,15,0;10,10,0
Paralyxis;;;;;;;0,0,0;10,0,25;20,10,50;25,10,5;20,10,5
